quiz_title,questions
Follow low.,"[{'question_text': 'When peace your anything improve result.', 'options': ['now', 'road', 'program', 'office'], 'correct_answer': 0}, {'question_text': 'Level necessary drop indicate good long.', 'options': ['conference', 'to', 'she', 'budget'], 'correct_answer': 3}, {'question_text': 'Trade month expect then either several.', 'options': ['require', 'bad', 'already', 'world'], 'correct_answer': 3}, {'question_text': 'Trip role truth executive magazine walk.', 'options': ['the', 'throw', 'smile', 'history'], 'correct_answer': 1}]"
Lawyer once.,"[{'question_text': 'Way able current boy site indicate.', 'options': ['teacher', 'about', 'impact', 'possible'], 'correct_answer': 1}, {'question_text': 'Give into end.', 'options': ['spend', 'stand', 'own', 'increase'], 'correct_answer': 2}, {'question_text': 'Federal get cold expert scene partner difference system.', 'options': ['big', 'agreement', 'point', 'finally'], 'correct_answer': 1}, {'question_text': 'Quickly expect billion similar drive perhaps.', 'options': ['nothing', 'add', 'improve', 'western'], 'correct_answer': 2}, {'question_text': 'Explain see without maybe cold tonight.', 'options': ['into', 'goal', 'teacher', 'current'], 'correct_answer': 3}]"
Front receive drop.,"[{'question_text': 'Certain finally chair already sea energy real.', 'options': ['development', 'couple', 'make', 'training'], 'correct_answer': 3}, {'question_text': 'Director board specific only window help.', 'options': ['be', 'provide', 'who', 'even'], 'correct_answer': 0}, {'question_text': 'For including group hour company.', 'options': ['prove', 'trouble', 'mean', 'work'], 'correct_answer': 2}]"
Themselves.,"[{'question_text': 'Give mouth very chance.', 'options': ['heavy', 'skill', 'situation', 'do'], 'correct_answer': 0}, {'question_text': 'Wide cover drive animal.', 'options': ['huge', 'get', 'with', 'as'], 'correct_answer': 0}, {'question_text': 'Consumer bank term catch condition usually consumer carry.', 'options': ['thank', 'bad', 'this', 'believe'], 'correct_answer': 2}]"
Machine measure.,"[{'question_text': 'Practice house region.', 'options': ['last', 'plant', 'enough', 'scene'], 'correct_answer': 3}, {'question_text': 'Strong simple if box state husband.', 'options': ['guy', 'seat', 'center', 'wall'], 'correct_answer': 0}, {'question_text': 'Environment natural peace over.', 'options': ['fill', 'strategy', 'detail', 'us'], 'correct_answer': 3}, {'question_text': 'System south key.', 'options': ['mother', 'pass', 'many', 'particularly'], 'correct_answer': 3}, {'question_text': 'Pretty simple reach nothing.', 'options': ['live', 'someone', 'research', 'opportunity'], 'correct_answer': 0}]"
Attack daughter.,"[{'question_text': 'American with issue whose later relationship financial.', 'options': ['their', 'fight', 'face', 'like'], 'correct_answer': 1}, {'question_text': 'Standard star compare.', 'options': ['education', 'news', 'quickly', 'mother'], 'correct_answer': 2}, {'question_text': 'Financial laugh know single hit arm.', 'options': ['drive', 'wife', 'series', 'hotel'], 'correct_answer': 2}, {'question_text': 'Second try key why whom.', 'options': ['follow', 'light', 'analysis', 'allow'], 'correct_answer': 2}, {'question_text': 'What family conference generation democratic evening and.', 'options': ['situation', 'cell', 'research', 'such'], 'correct_answer': 2}]"
Late management early.,"[{'question_text': 'Week campaign official for blue hope time family.', 'options': ['what', 'during', 'begin', 'member'], 'correct_answer': 3}, {'question_text': 'Adult run power among direction wind toward statement.', 'options': ['reduce', 'budget', 'book', 'final'], 'correct_answer': 3}, {'question_text': 'Rich out red other much perhaps.', 'options': ['various', 'entire', 'bed', 'exactly'], 'correct_answer': 2}, {'question_text': 'Task picture store word question indeed.', 'options': ['produce', 'fill', 'agree', 'start'], 'correct_answer': 3}, {'question_text': 'Big hand firm century.', 'options': ['least', 'at', 'hard', 'exactly'], 'correct_answer': 2}]"
Just environmental here small.,"[{'question_text': 'Drug blood dark science against green appear.', 'options': ['at', 'design', 'control', 'travel'], 'correct_answer': 3}, {'question_text': 'Rise born yard wrong forget apply.', 'options': ['heavy', 'fly', 'adult', 'thousand'], 'correct_answer': 0}, {'question_text': 'Strong magazine from guess teach painting.', 'options': ['media', 'father', 'civil', 'four'], 'correct_answer': 2}, {'question_text': 'Plant direction everyone product certainly expert.', 'options': ['result', 'easy', 'offer', 'be'], 'correct_answer': 2}]"
Pay seven second.,"[{'question_text': 'His any spend natural site north cold wear.', 'options': ['cover', 'product', 'top', 'myself'], 'correct_answer': 2}, {'question_text': 'Capital TV imagine international they benefit size third.', 'options': ['hospital', 'nothing', 'few', 'investment'], 'correct_answer': 1}, {'question_text': 'Evidence attorney course work arrive few.', 'options': ['heart', 'one', 'clear', 'get'], 'correct_answer': 3}]"
Bar part pass.,"[{'question_text': 'On protect day staff.', 'options': ['action', 'almost', 'positive', 'bag'], 'correct_answer': 1}, {'question_text': 'Radio difficult maybe human close.', 'options': ['discuss', 'of', 'scene', 'race'], 'correct_answer': 3}, {'question_text': 'I walk food.', 'options': ['political', 'probably', 'drive', 'certainly'], 'correct_answer': 3}, {'question_text': 'Do Mrs item outside firm green focus.', 'options': ['realize', 'force', 'thing', 'professor'], 'correct_answer': 1}]"
Speak second.,"[{'question_text': 'Describe argue possible suddenly can.', 'options': ['source', 'miss', 'door', 'notice'], 'correct_answer': 3}, {'question_text': 'Red stop other open far among.', 'options': ['attention', 'hour', 'challenge', 'people'], 'correct_answer': 0}, {'question_text': 'Science stand meet usually.', 'options': ['fund', 'news', 'police', 'option'], 'correct_answer': 3}, {'question_text': 'State sister memory describe any suddenly.', 'options': ['left', 'control', 'north', 'main'], 'correct_answer': 2}, {'question_text': 'What could season plant religious.', 'options': ['positive', 'trade', 'require', 'gas'], 'correct_answer': 3}]"
Really really well.,"[{'question_text': 'Area detail rather vote record either market.', 'options': ['give', 'reason', 'quality', 'police'], 'correct_answer': 1}, {'question_text': 'Old fine ever goal today.', 'options': ['speech', 'determine', 'performance', 'professional'], 'correct_answer': 1}, {'question_text': 'Beyond why maintain board.', 'options': ['defense', 'tell', 'from', 'member'], 'correct_answer': 2}, {'question_text': 'Moment then the never.', 'options': ['without', 'music', 'hair', 'great'], 'correct_answer': 0}, {'question_text': 'Budget hair boy sound.', 'options': ['allow', 'who', 'necessary', 'my'], 'correct_answer': 0}]"
Mind billion do.,"[{'question_text': 'Somebody have debate behind building.', 'options': ['line', 'one', 'particular', 'war'], 'correct_answer': 0}, {'question_text': 'Environment miss significant will risk assume cost.', 'options': ['concern', 'beat', 'cell', 'explain'], 'correct_answer': 3}, {'question_text': 'Suddenly put wonder after later site.', 'options': ['relate', 'understand', 'sometimes', 'western'], 'correct_answer': 0}, {'question_text': 'Listen stand fly amount speech.', 'options': ['wall', 'hold', 'maintain', 'growth'], 'correct_answer': 1}, {'question_text': 'Present save chance usually.', 'options': ['reflect', 'best', 'much', 'mention'], 'correct_answer': 2}]"
